Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,79.76,-64.227274,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,56.3,-40.723637,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,79.76,-40.723637,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,56.3,-17.22,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,32.84,-87.730911,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,9.38,-40.723637,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,9.38,-64.227274,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,32.84,-17.22,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,79.76,-87.730911,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,32.84,-40.723637,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,9.38,-17.22,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,79.76,-17.22,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,56.3,-64.227274,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,32.84,-64.227274,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,9.38,-87.730911,270.0,bottom
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,56.3,-87.730911,270.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,48.43,-15.34,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,71.89,-62.347274,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,48.43,-62.347274,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,95.35,-38.843637,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,48.43,-38.843637,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,71.89,-38.843637,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,71.89,-85.850911,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,48.43,-85.850911,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,95.35,-15.34,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,24.97,-15.34,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,24.97,-38.843637,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,24.97,-62.347274,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,24.97,-85.850911,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,71.89,-15.34,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,95.35,-62.347274,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,95.35,-85.850911,90.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,35.976,-80.207911,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,35.976,-33.200637,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,59.436,-33.200637,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,82.896,-80.207911,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,82.896,-9.697,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,82.896,-33.200637,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,59.436,-80.207911,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,12.516,-56.704274,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,59.436,-56.704274,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,59.436,-9.697,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,12.516,-33.200637,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,35.976,-9.697,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,82.896,-56.704274,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,12.516,-9.697,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,35.976,-56.704274,180.0,bottom
R1,R,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,12.516,-80.207911,180.0,bottom
