Comment,Designator,Footprint,LCSC,Quantity
LED,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D5,D6,D7,D8,D9",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,C2843803,40
Conn_02x01,J3,PinHeader_1x02_P2.54mm_Vertical,C2915055,1
220R,"R1,R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R6,R7,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2933785,15
Conn_02x02_Counter_Clockwise,"J4,J5,J6",PinHeader_1x04_P2.54mm_Vertical,C5116483,3
Conn_02x01,"J1,J7",TerminalBlock_bornier-2_P5.08mm,C592976,2
Conn_02x20_Counter_Clockwise,J2,PinHeader_2x20_P2.54mm_Vertical,C725892,1
~,KR3,Korry Switch,,1
~,KR5,Korry Switch,,1
~,KR6,Korry Switch,,1
~,KR4,Korry Switch,,1
~,KR1,Korry Switch,,1
~,KR2,Korry Switch,,1
