Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.185,-51.5,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,217.045,-66.3,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,191.145,-82.7,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,209.385,-82.2,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,233.545,-51.2,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,259.41,-51.0,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,229.745,-66.1,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,262.345,-66.6,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,234.945,-82.6,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,254.485,-81.9,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,144.475,-121.2,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,169.31,-51.4,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,169.125,-121.1,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,141.485,-136.7,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,172.385,-136.2,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,143.475,-150.2,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,170.385,-150.4,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,188.185,-121.6,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,216.785,-121.7,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,186.575,-136.2,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,190.375,-150.5,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,217.885,-134.8,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,164.075,-82.0,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,213.825,-150.6,0.0,top
D31,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,233.285,-121.5,0.0,top
D32,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,262.325,-121.5,0.0,top
D33,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,231.685,-134.7,0.0,top
D34,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,263.085,-134.9,0.0,top
D35,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,232.525,-149.6,0.0,top
D36,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,262.045,-149.6,0.0,top
D37,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,190.385,-27.6,0.0,top
D38,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,185.375,-38.7,0.0,top
D39,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,214.675,-27.5,0.0,top
